threshold,accuracy,precision,recall,f1,macro_f1,f1_class0,f1_class1,positive_predictions,negative_predictions
0.1,0.8844414120738887,0.8314902379499695,0.9929869301880778,0.9050910072017101,0.8786993000676057,0.8523075929335012,0.9050910072017101,26224,13349
0.15000000000000002,0.8979860005559346,0.8501484839012191,0.9908010382986475,0.9151016803011504,0.8936641492184656,0.872226618135781,0.9151016803011504,25592,13981
0.20000000000000004,0.9089025345563895,0.8668452190598017,0.987522200464502,0.9232570516232038,0.9055998042922211,0.8879425569612384,0.9232570516232038,25016,14557
0.25000000000000006,0.9173426326030374,0.8804250468202915,0.9847898356027142,0.9296876679349111,0.9147135657682218,0.8997394636015326,0.9296876679349111,24562,15011
0.30000000000000004,0.9247972102190888,0.8932670395690905,0.9817842342547475,0.9354362823794854,0.9226981726553121,0.9099600629311388,0.9354362823794854,24135,15438
0.3500000000000001,0.9303060167285776,0.9040104363927114,0.9782776993487864,0.9396789291807007,0.9285816857487994,0.9174844423168981,0.9396789291807007,23763,15810
0.40000000000000013,0.9346271447704243,0.9130842715796657,0.9749988615146409,0.9430264056202788,0.9331747813987165,0.9233231571771541,0.9430264056202788,23448,16125
0.45000000000000007,0.9385692264928107,0.9226839826839827,0.9706270777357803,0.94604851417031,0.9373655015478534,0.9286824889253967,0.94604851417031,23100,16473
0.5000000000000001,0.9401612210345438,0.9296460371068906,0.9652078874265677,0.9470932570713615,0.9391160132047514,0.9311387693381412,0.9470932570713615,22799,16774
0.5500000000000002,0.9412730902382938,0.9371298811167016,0.9584680541008243,0.9476788689270116,0.9403794022128723,0.933079935498733,0.9476788689270116,22459,17114
0.6000000000000002,0.9412983599929244,0.9433706647398844,0.9513183660458127,0.9473278461782645,0.940518929795179,0.9337100134120937,0.9473278461782645,22144,17429
0.6500000000000001,0.9409698531827256,0.9505441520870643,0.9426658773168177,0.9465886226449607,0.9403092788457789,0.934029935046597,0.9465886226449607,21777,17796
0.7000000000000002,0.939984332752129,0.9576128610150482,0.9331481397149233,0.9452222247849251,0.9394305261788215,0.9336388275727179,0.9452222247849251,21398,18175
0.7500000000000002,0.9375837060622141,0.9642669969984278,0.9216722072954142,0.9424885908540561,0.9371263883603393,0.9317641858666225,0.9424885908540561,20989,18584
0.8000000000000002,0.9319738205342026,0.9698580695507975,0.9055512546108657,0.9366021383825538,0.9316093234710718,0.92661650855959,0.9366021383825538,20503,19070
0.8500000000000002,0.9215626816263615,0.976401030875739,0.8799125643244228,0.9256491328925937,0.92132502101606,0.9170009091395261,0.9256491328925937,19789,19784
0.9000000000000002,0.8974047961994289,0.9838352165215981,0.8287262625802633,0.8996440577417442,0.8973536907990189,0.8950633238562936,0.8996440577417442,18497,21076
